path,label
archive\iam_words\words\b04\b04-034\b04-034-02-04.png,two
archive\iam_words\words\a04\a04-050\a04-050-02-02.png,But
archive\iam_words\words\b01\b01-122\b01-122-00-03.png,to
archive\iam_words\words\e04\e04-109\e04-109-00-01.png,5/8
archive\iam_words\words\a06\a06-110\a06-110-02-05.png,#
archive\iam_words\words\e01\e01-086\e01-086-00-10.png,the
archive\iam_words\words\c06\c06-000\c06-000-02-05.png,of
archive\iam_words\words\a01\a01-026x\a01-026x-01-01.png,the
archive\iam_words\words\d01\d01-080\d01-080-00-02.png,was
archive\iam_words\words\b06\b06-008\b06-008-06-04.png,Daily
archive\iam_words\words\b05\b05-055\b05-055-03-04.png,the
archive\iam_words\words\c04\c04-105\c04-105-04-06.png,he
archive\iam_words\words\a01\a01-043u\a01-043u-02-06.png,as
archive\iam_words\words\c02\c02-056\c02-056-04-10.png,admire
archive\iam_words\words\b01\b01-044\b01-044-02-00.png,also
archive\iam_words\words\b06\b06-036\b06-036-04-06.png,must
archive\iam_words\words\b06\b06-042\b06-042-03-03.png,of
archive\iam_words\words\e02\e02-082\e02-082-07-05.png,if
archive\iam_words\words\c03\c03-081b\c03-081b-00-06.png,a
archive\iam_words\words\c04\c04-050\c04-050-02-02.png,ago
archive\iam_words\words\a01\a01-113\a01-113-02-01.png,provide
archive\iam_words\words\c03\c03-003f\c03-003f-04-04.png,background
archive\iam_words\words\b05\b05-017\b05-017-01-07.png,wrote
archive\iam_words\words\b06\b06-071\b06-071-05-03.png,could
archive\iam_words\words\d04\d04-101\d04-101-02-10.png,)
archive\iam_words\words\a02\a02-053\a02-053-03-03.png,","
archive\iam_words\words\b04\b04-116\b04-116-01-10.png,.
archive\iam_words\words\a04\a04-092\a04-092-02-02.png,Government
archive\iam_words\words\b03\b03-104\b03-104-02-02.png,of
archive\iam_words\words\a04\a04-072\a04-072-06-07.png,a
archive\iam_words\words\c03\c03-094c\c03-094c-03-03.png,the
archive\iam_words\words\a03\a03-020\a03-020-05-04.png,Xieng
archive\iam_words\words\d01\d01-118\d01-118-04-00.png,writing
archive\iam_words\words\c06\c06-039\c06-039-07-00.png,Canadians
archive\iam_words\words\c02\c02-089\c02-089-05-01.png,rolling
archive\iam_words\words\a01\a01-102u\a01-102u-08-05.png,cost
archive\iam_words\words\e04\e04-000\e04-000-00-09.png,the
archive\iam_words\words\a03\a03-073\a03-073-05-03.png,the
archive\iam_words\words\a02\a02-098\a02-098-02-05.png,Welensky
archive\iam_words\words\b01\b01-009\b01-009-03-08.png,expel
archive\iam_words\words\a02\a02-120\a02-120-05-01.png,was
archive\iam_words\words\a04\a04-085\a04-085-09-00.png,written
archive\iam_words\words\b05\b05-074\b05-074-08-10.png,as
archive\iam_words\words\a06\a06-014\a06-014-00-01.png,nodded
archive\iam_words\words\e02\e02-100\e02-100-01-10.png,far
archive\iam_words\words\e07\e07-012\e07-012-03-03.png,.
archive\iam_words\words\a01\a01-072u\a01-072u-02-01.png,is
archive\iam_words\words\a04\a04-019\a04-019-00-11.png,""""
archive\iam_words\words\c06\c06-087\c06-087-04-03.png,Result
archive\iam_words\words\c03\c03-094f\c03-094f-01-02.png,","
archive\iam_words\words\a04\a04-050\a04-050-04-01.png,.
archive\iam_words\words\a04\a04-003\a04-003-00-01.png,arose
archive\iam_words\words\a06\a06-057\a06-057-04-01.png,effect
archive\iam_words\words\c03\c03-081b\c03-081b-09-00.png,and
archive\iam_words\words\e04\e04-004\e04-004-03-00.png,a
archive\iam_words\words\a01\a01-063x\a01-063x-04-05.png,is
archive\iam_words\words\a04\a04-043\a04-043-07-03.png,weapons
archive\iam_words\words\a06\a06-095\a06-095-04-05.png,the
archive\iam_words\words\b06\b06-079\b06-079-00-06.png,Defence
archive\iam_words\words\c04\c04-044\c04-044-07-04.png,his
archive\iam_words\words\d04\d04-125\d04-125-04-09.png,out
archive\iam_words\words\a03\a03-073\a03-073-02-08.png,is
archive\iam_words\words\b04\b04-047\b04-047-02-05.png,is
archive\iam_words\words\a02\a02-093\a02-093-07-01.png,Constitution
archive\iam_words\words\c06\c06-095\c06-095-00-09.png,trouble
archive\iam_words\words\b01\b01-057\b01-057-07-04.png,","
archive\iam_words\words\a01\a01-072u\a01-072u-04-00.png,rejection
archive\iam_words\words\b01\b01-057\b01-057-03-06.png,little
archive\iam_words\words\d06\d06-091\d06-091-04-03.png,system
archive\iam_words\words\a01\a01-053u\a01-053u-05-01.png,on
archive\iam_words\words\c03\c03-081d\c03-081d-05-05.png,Miss
archive\iam_words\words\b01\b01-057\b01-057-02-01.png,who
archive\iam_words\words\e06\e06-070\e06-070-09-04.png,be
archive\iam_words\words\b04\b04-121\b04-121-02-03.png,ministers
archive\iam_words\words\a01\a01-102\a01-102-10-01.png,bills
archive\iam_words\words\e04\e04-086\e04-086-06-02.png,side
archive\iam_words\words\e01\e01-022\e01-022-00-00.png,Lucky
archive\iam_words\words\c04\c04-075\c04-075-06-05.png,only
archive\iam_words\words\a01\a01-068u\a01-068u-05-01.png,for
archive\iam_words\words\c06\c06-031\c06-031-01-11.png,to
archive\iam_words\words\a02\a02-053\a02-053-05-06.png,Committee
archive\iam_words\words\c03\c03-021f\c03-021f-02-06.png,yet
archive\iam_words\words\c03\c03-003e\c03-003e-01-02.png,in
archive\iam_words\words\a04\a04-006\a04-006-10-02.png,alone
archive\iam_words\words\e01\e01-107\e01-107-09-03.png,included
archive\iam_words\words\c06\c06-076\c06-076-01-01.png,this
archive\iam_words\words\a04\a04-099\a04-099-03-04.png,Earl
archive\iam_words\words\d07\d07-096\d07-096-00-06.png,sugya
archive\iam_words\words\d04\d04-053\d04-053-10-02.png,.
archive\iam_words\words\a02\a02-012\a02-012-04-03.png,Britain's
archive\iam_words\words\a06\a06-110\a06-110-04-01.png,.
archive\iam_words\words\a01\a01-007x\a01-007x-00-02.png,","
archive\iam_words\words\d01\d01-080\d01-080-07-03.png,.
archive\iam_words\words\c03\c03-000e\c03-000e-03-01.png,directed
archive\iam_words\words\d01\d01-080\d01-080-07-01.png,to
archive\iam_words\words\c06\c06-083\c06-083-07-08.png,into
archive\iam_words\words\a04\a04-066\a04-066-02-01.png,respected
archive\iam_words\words\c04\c04-156\c04-156-00-06.png,the
archive\iam_words\words\c03\c03-000d\c03-000d-03-06.png,Richardson
archive\iam_words\words\b06\b06-082\b06-082-01-08.png,.
archive\iam_words\words\e01\e01-032\e01-032-06-06.png,.
archive\iam_words\words\a01\a01-020u\a01-020u-00-02.png,went
archive\iam_words\words\e06\e06-010\e06-010-02-04.png,the
archive\iam_words\words\e04\e04-127\e04-127-04-02.png,assortment
archive\iam_words\words\c06\c06-095\c06-095-00-11.png,""""
archive\iam_words\words\a01\a01-058x\a01-058x-04-06.png,was
archive\iam_words\words\c03\c03-007b\c03-007b-02-03.png,live
archive\iam_words\words\b02\b02-045\b02-045-02-05.png,Three
archive\iam_words\words\b01\b01-018\b01-018-03-00.png,Whatever
archive\iam_words\words\a04\a04-010\a04-010-02-04.png,afternoon
archive\iam_words\words\a02\a02-008\a02-008-00-07.png,","
archive\iam_words\words\e04\e04-095\e04-095-06-00.png,with
archive\iam_words\words\e04\e04-043\e04-043-04-02.png,approximately
archive\iam_words\words\d05\d05-025\d05-025-08-01.png,Prayer
archive\iam_words\words\e04\e04-083\e04-083-01-01.png,to
archive\iam_words\words\d04\d04-012\d04-012-04-06.png,the
archive\iam_words\words\b01\b01-073\b01-073-09-07.png,","
archive\iam_words\words\c03\c03-087a\c03-087a-04-05.png,unredeemable
archive\iam_words\words\b06\b06-093\b06-093-03-04.png,and
archive\iam_words\words\e01\e01-055\e01-055-02-06.png,mantel-
archive\iam_words\words\b06\b06-012\b06-012-00-01.png,job
archive\iam_words\words\d01\d01-056\d01-056-04-00.png,verbs
archive\iam_words\words\d06\d06-025\d06-025-02-09.png,in
archive\iam_words\words\c03\c03-003a\c03-003a-00-06.png,.
archive\iam_words\words\d03\d03-112\d03-112-03-04.png,our
archive\iam_words\words\e04\e04-103\e04-103-06-05.png,framing
archive\iam_words\words\a06\a06-128\a06-128-09-04.png,must
archive\iam_words\words\a03\a03-017\a03-017-02-01.png,Phnom
archive\iam_words\words\a01\a01-128\a01-128-05-08.png,was
archive\iam_words\words\c03\c03-007e\c03-007e-07-04.png,-
archive\iam_words\words\d04\d04-032\d04-032-05-06.png,God
archive\iam_words\words\a01\a01-077\a01-077-07-01.png,waiting
archive\iam_words\words\b03\b03-025\b03-025-04-06.png,is
archive\iam_words\words\c03\c03-000f\c03-000f-04-05.png,part-author
archive\iam_words\words\d06\d06-015\d06-015-01-08.png,child
archive\iam_words\words\d04\d04-096\d04-096-05-06.png,)
archive\iam_words\words\b05\b05-062\b05-062-01-06.png,wanting
archive\iam_words\words\a05\a05-080\a05-080-03-04.png,as
archive\iam_words\words\d04\d04-021\d04-021-00-04.png,Shamir
archive\iam_words\words\a01\a01-132x\a01-132x-00-02.png,cannot
archive\iam_words\words\c03\c03-094f\c03-094f-08-01.png,and
archive\iam_words\words\a01\a01-011\a01-011-03-05.png,of
archive\iam_words\words\c02\c02-017\c02-017-09-03.png,exploited
archive\iam_words\words\a06\a06-051\a06-051-06-05.png,In
archive\iam_words\words\c06\c06-087\c06-087-04-10.png,Lollo
archive\iam_words\words\e01\e01-014\e01-014-03-06.png,do
archive\iam_words\words\b05\b05-088\b05-088-02-07.png,big
archive\iam_words\words\b01\b01-073\b01-073-05-00.png,understood
archive\iam_words\words\e04\e04-058\e04-058-04-06.png,upside-down
archive\iam_words\words\c02\c02-078\c02-078-09-00.png,who
archive\iam_words\words\b06\b06-032\b06-032-04-05.png,rearm
archive\iam_words\words\b04\b04-147\b04-147-06-05.png,will
archive\iam_words\words\a04\a04-092\a04-092-10-06.png,States
archive\iam_words\words\b01\b01-057\b01-057-05-04.png,would
archive\iam_words\words\a04\a04-027\a04-027-05-00.png,but
archive\iam_words\words\b01\b01-084\b01-084-05-05.png,to
archive\iam_words\words\c06\c06-095\c06-095-04-02.png,of
archive\iam_words\words\a01\a01-043u\a01-043u-02-00.png,defended
archive\iam_words\words\c06\c06-052\c06-052-00-03.png,the
archive\iam_words\words\e06\e06-030\e06-030-08-02.png,an
archive\iam_words\words\b06\b06-075\b06-075-01-06.png,or
archive\iam_words\words\a06\a06-147\a06-147-03-08.png,a
archive\iam_words\words\b01\b01-136\b01-136-06-03.png,or
archive\iam_words\words\a04\a04-010\a04-010-07-01.png,and
archive\iam_words\words\a02\a02-027\a02-027-09-02.png,.
archive\iam_words\words\c03\c03-007f\c03-007f-07-03.png,""""
archive\iam_words\words\c06\c06-091\c06-091-03-09.png,like
archive\iam_words\words\e04\e04-109\e04-109-01-06.png,nails
archive\iam_words\words\b04\b04-089\b04-089-03-05.png,are
archive\iam_words\words\a05\a05-104\a05-104-08-05.png,is
archive\iam_words\words\a01\a01-049\a01-049-00-03.png,of
archive\iam_words\words\b01\b01-127\b01-127-04-08.png,gallant
archive\iam_words\words\a01\a01-058\a01-058-09-06.png,.
archive\iam_words\words\e04\e04-079\e04-079-03-01.png,wooden
archive\iam_words\words\e01\e01-102\e01-102-03-08.png,while
archive\iam_words\words\e02\e02-100\e02-100-01-01.png,design
archive\iam_words\words\e02\e02-074\e02-074-05-02.png,results
archive\iam_words\words\a05\a05-013\a05-013-01-04.png,remains
archive\iam_words\words\a02\a02-027\a02-027-08-08.png,when
archive\iam_words\words\a02\a02-046\a02-046-07-04.png,had
archive\iam_words\words\a05\a05-009\a05-009-05-07.png,Chiefs
archive\iam_words\words\b05\b05-032\b05-032-07-01.png,Luddites
archive\iam_words\words\e06\e06-015\e06-015-05-02.png,gather
archive\iam_words\words\b05\b05-055\b05-055-04-03.png,days
archive\iam_words\words\a01\a01-128u\a01-128u-02-01.png,opponents
archive\iam_words\words\d06\d06-000\d06-000-00-08.png,great
archive\iam_words\words\a01\a01-038\a01-038-02-03.png,had
archive\iam_words\words\a01\a01-128u\a01-128u-09-01.png,to
archive\iam_words\words\b04\b04-107\b04-107-02-07.png,.
archive\iam_words\words\b06\b06-097\b06-097-02-01.png,six
archive\iam_words\words\e02\e02-000\e02-000-00-04.png,modern
archive\iam_words\words\a05\a05-009\a05-009-03-03.png,overseas
archive\iam_words\words\a01\a01-117\a01-117-02-07.png,","
archive\iam_words\words\a04\a04-085\a04-085-03-02.png,the
archive\iam_words\words\d04\d04-053\d04-053-06-08.png,heed
archive\iam_words\words\c03\c03-081a\c03-081a-04-01.png,flawed
archive\iam_words\words\c06\c06-116\c06-116-10-02.png,.
archive\iam_words\words\d01\d01-118\d01-118-03-05.png,.
archive\iam_words\words\e04\e04-052\e04-052-01-07.png,bend
archive\iam_words\words\b04\b04-162\b04-162-04-01.png,by
archive\iam_words\words\c03\c03-087a\c03-087a-00-03.png,perhaps
archive\iam_words\words\a06\a06-025\a06-025-05-03.png,""""
archive\iam_words\words\a02\a02-072\a02-072-07-05.png,up
archive\iam_words\words\b04\b04-121\b04-121-00-05.png,modify
archive\iam_words\words\c03\c03-016a\c03-016a-08-03.png,is
archive\iam_words\words\d01\d01-118\d01-118-00-07.png,and
archive\iam_words\words\c03\c03-087b\c03-087b-02-02.png,melodramatic
archive\iam_words\words\b01\b01-057\b01-057-00-03.png,on
archive\iam_words\words\a01\a01-043\a01-043-03-01.png,Housing
archive\iam_words\words\c06\c06-031\c06-031-02-02.png,distinction
archive\iam_words\words\a03\a03-017\a03-017-00-01.png,Souvanna
archive\iam_words\words\a01\a01-107u\a01-107u-04-06.png,But
archive\iam_words\words\b05\b05-045\b05-045-03-03.png,new
archive\iam_words\words\c04\c04-098\c04-098-01-04.png,who
archive\iam_words\words\a05\a05-039\a05-039-06-01.png,in
archive\iam_words\words\b05\b05-088\b05-088-00-00.png,Their
archive\iam_words\words\a01\a01-026u\a01-026u-05-05.png,settlers'
archive\iam_words\words\b01\b01-014\b01-014-03-00.png,On
archive\iam_words\words\a06\a06-039\a06-039-07-00.png,carrying
archive\iam_words\words\b04\b04-147\b04-147-03-07.png,for
archive\iam_words\words\d04\d04-125\d04-125-04-01.png,:
archive\iam_words\words\c03\c03-096a\c03-096a-04-07.png,One
archive\iam_words\words\d06\d06-100\d06-100-00-07.png,of
archive\iam_words\words\e02\e02-025\e02-025-08-00.png,made
archive\iam_words\words\a01\a01-053u\a01-053u-09-02.png,considered
archive\iam_words\words\e02\e02-086\e02-086-06-04.png,will
archive\iam_words\words\e04\e04-114\e04-114-05-02.png,.
archive\iam_words\words\c03\c03-094b\c03-094b-07-03.png,and
archive\iam_words\words\a01\a01-030u\a01-030u-08-01.png,","
archive\iam_words\words\a01\a01-087\a01-087-08-02.png,first
archive\iam_words\words\b02\b02-097\b02-097-00-06.png,New
archive\iam_words\words\d04\d04-037\d04-037-02-00.png,diligently
archive\iam_words\words\c06\c06-005\c06-005-07-06.png,an
archive\iam_words\words\b01\b01-009\b01-009-03-07.png,to
archive\iam_words\words\c06\c06-076\c06-076-09-05.png,for
archive\iam_words\words\d01\d01-060\d01-060-05-04.png,of
archive\iam_words\words\a06\a06-057\a06-057-03-06.png,political
archive\iam_words\words\e01\e01-113\e01-113-00-01.png,.
archive\iam_words\words\c03\c03-081a\c03-081a-07-07.png,exacting
archive\iam_words\words\a05\a05-113\a05-113-05-06.png,his
archive\iam_words\words\a04\a04-096\a04-096-04-04.png,control
archive\iam_words\words\a04\a04-054\a04-054-02-06.png,have
archive\iam_words\words\b04\b04-121\b04-121-02-05.png,is
archive\iam_words\words\c06\c06-116\c06-116-08-01.png,an
archive\iam_words\words\a06\a06-036\a06-036-04-06.png,in
archive\iam_words\words\a06\a06-044\a06-044-02-03.png,for
archive\iam_words\words\b06\b06-110\b06-110-00-07.png,implies
archive\iam_words\words\a05\a05-099\a05-099-00-01.png,reference
archive\iam_words\words\c03\c03-094c\c03-094c-04-02.png,the
archive\iam_words\words\c03\c03-016a\c03-016a-00-05.png,the
archive\iam_words\words\b02\b02-045\b02-045-05-00.png,from
archive\iam_words\words\b06\b06-064\b06-064-09-06.png,consistent
archive\iam_words\words\b04\b04-040\b04-040-03-08.png,.
archive\iam_words\words\a05\a05-073\a05-073-05-02.png,they
archive\iam_words\words\a01\a01-030u\a01-030u-04-05.png,obligation
archive\iam_words\words\d05\d05-008\d05-008-07-00.png,derived
archive\iam_words\words\b01\b01-057\b01-057-01-06.png,Re-Armament
archive\iam_words\words\a01\a01-068u\a01-068u-02-05.png,.
archive\iam_words\words\e01\e01-107\e01-107-04-03.png,use
archive\iam_words\words\b05\b05-074\b05-074-04-06.png,encircled
archive\iam_words\words\a01\a01-053u\a01-053u-04-06.png,had
archive\iam_words\words\b06\b06-093\b06-093-05-02.png,strategy
archive\iam_words\words\a06\a06-147\a06-147-03-00.png,realization
archive\iam_words\words\b06\b06-000\b06-000-04-05.png,opposition
archive\iam_words\words\b04\b04-081\b04-081-02-11.png,health
archive\iam_words\words\a03\a03-071\a03-071-01-01.png,that
archive\iam_words\words\c04\c04-017\c04-017-02-05.png,his
archive\iam_words\words\c04\c04-144\c04-144-03-01.png,.
archive\iam_words\words\e04\e04-109\e04-109-05-02.png,to
archive\iam_words\words\b04\b04-202\b04-202-02-08.png,in
archive\iam_words\words\a06\a06-057\a06-057-05-00.png,Minister
archive\iam_words\words\a01\a01-053x\a01-053x-07-02.png,to
archive\iam_words\words\b04\b04-202\b04-202-06-09.png,the
archive\iam_words\words\e01\e01-092\e01-092-02-00.png,are
archive\iam_words\words\d06\d06-020\d06-020-04-06.png,us
archive\iam_words\words\a01\a01-020\a01-020-03-06.png,.
archive\iam_words\words\d04\d04-021\d04-021-04-09.png,the
archive\iam_words\words\e06\e06-030\e06-030-04-00.png,course
archive\iam_words\words\a01\a01-014\a01-014-00-01.png,Roy's
archive\iam_words\words\b01\b01-089\b01-089-08-03.png,port
archive\iam_words\words\b04\b04-026\b04-026-06-00.png,commercial
archive\iam_words\words\a01\a01-128\a01-128-04-06.png,making
archive\iam_words\words\d01\d01-080\d01-080-03-06.png,a
archive\iam_words\words\e04\e04-095\e04-095-00-08.png,shape
archive\iam_words\words\a02\a02-037\a02-037-08-07.png,likely
archive\iam_words\words\e01\e01-029\e01-029-01-04.png,knitting
archive\iam_words\words\b02\b02-102\b02-102-04-03.png,had
archive\iam_words\words\a06\a06-128\a06-128-06-04.png,bogy
archive\iam_words\words\b01\b01-033\b01-033-04-10.png,value
archive\iam_words\words\d06\d06-104\d06-104-09-01.png,be
archive\iam_words\words\c04\c04-150\c04-150-06-08.png,boy
archive\iam_words\words\b01\b01-122\b01-122-07-05.png,will
archive\iam_words\words\a01\a01-058u\a01-058u-03-00.png,said
archive\iam_words\words\b05\b05-083\b05-083-00-02.png,other
archive\iam_words\words\a01\a01-077\a01-077-07-04.png,senior
archive\iam_words\words\a01\a01-096u\a01-096u-09-04.png,a
archive\iam_words\words\a05\a05-073\a05-073-09-01.png,","
archive\iam_words\words\d01\d01-016\d01-016-01-05.png,solved
archive\iam_words\words\a01\a01-063u\a01-063u-09-01.png,America
archive\iam_words\words\b06\b06-049\b06-049-09-08.png,context
archive\iam_words\words\c02\c02-059\c02-059-02-05.png,","
archive\iam_words\words\c03\c03-087c\c03-087c-01-07.png,a
archive\iam_words\words\b04\b04-075\b04-075-01-08.png,to
archive\iam_words\words\a04\a04-085\a04-085-08-06.png,open
archive\iam_words\words\e07\e07-012\e07-012-02-00.png,praying
archive\iam_words\words\d04\d04-021\d04-021-02-08.png,hardest
archive\iam_words\words\c03\c03-000a\c03-000a-04-01.png,with
archive\iam_words\words\c02\c02-056\c02-056-04-03.png,touch
archive\iam_words\words\b01\b01-018\b01-018-06-08.png,in
archive\iam_words\words\c03\c03-087d\c03-087d-09-02.png,.
archive\iam_words\words\a04\a04-050\a04-050-00-00.png,Mr
archive\iam_words\words\c04\c04-098\c04-098-00-07.png,.
archive\iam_words\words\a04\a04-000\a04-000-00-01.png,KENNEDY
archive\iam_words\words\a04\a04-103\a04-103-05-05.png,more
archive\iam_words\words\a04\a04-015\a04-015-02-04.png,""""
archive\iam_words\words\e01\e01-055\e01-055-00-02.png,remember
archive\iam_words\words\d06\d06-041\d06-041-02-03.png,of
archive\iam_words\words\e06\e06-021\e06-021-07-05.png,against
archive\iam_words\words\a05\a05-099\a05-099-04-03.png,of
archive\iam_words\words\b06\b06-053\b06-053-06-00.png,basic
archive\iam_words\words\a01\a01-053u\a01-053u-03-06.png,Robertson
archive\iam_words\words\a02\a02-050\a02-050-02-05.png,the
archive\iam_words\words\b04\b04-147\b04-147-03-04.png,smooth
archive\iam_words\words\d01\d01-123\d01-123-02-01.png,out
archive\iam_words\words\b05\b05-079\b05-079-01-04.png,directive
archive\iam_words\words\a01\a01-020u\a01-020u-01-03.png,despite
archive\iam_words\words\d06\d06-086\d06-086-05-00.png,he
archive\iam_words\words\a01\a01-030u\a01-030u-08-08.png,to
archive\iam_words\words\e04\e04-068\e04-068-02-01.png,easy
archive\iam_words\words\a03\a03-080\a03-080-06-04.png,the
archive\iam_words\words\c06\c06-128\c06-128-00-07.png,the
archive\iam_words\words\c04\c04-039\c04-039-05-04.png,here
archive\iam_words\words\a04\a04-003\a04-003-06-03.png,meet
archive\iam_words\words\d05\d05-030\d05-030-06-03.png,Fisher
archive\iam_words\words\e06\e06-070\e06-070-00-06.png,or
archive\iam_words\words\a05\a05-116\a05-116-02-06.png,way
archive\iam_words\words\c03\c03-007b\c03-007b-05-00.png,head-stones
archive\iam_words\words\d06\d06-091\d06-091-07-03.png,are
archive\iam_words\words\c03\c03-096f\c03-096f-05-03.png,hopes
archive\iam_words\words\a01\a01-020x\a01-020x-02-02.png,.
archive\iam_words\words\d05\d05-025\d05-025-00-06.png,turned
archive\iam_words\words\b01\b01-118\b01-118-08-02.png,.
archive\iam_words\words\e01\e01-014\e01-014-04-06.png,records
archive\iam_words\words\b06\b06-110\b06-110-02-02.png,it
archive\iam_words\words\b05\b05-062\b05-062-01-07.png,.
archive\iam_words\words\c06\c06-080\c06-080-01-02.png,is
archive\iam_words\words\c03\c03-094f\c03-094f-02-03.png,","
archive\iam_words\words\e07\e07-012\e07-012-00-02.png,day
archive\iam_words\words\b06\b06-059\b06-059-08-04.png,can
archive\iam_words\words\d01\d01-019\d01-019-03-11.png,fell
archive\iam_words\words\a04\a04-047\a04-047-00-03.png,congress
archive\iam_words\words\e02\e02-100\e02-100-05-04.png,tools
archive\iam_words\words\c03\c03-016c\c03-016c-04-06.png,sordid
archive\iam_words\words\d06\d06-025\d06-025-06-01.png,plan
archive\iam_words\words\a01\a01-087u\a01-087u-01-00.png,led
archive\iam_words\words\a02\a02-086\a02-086-03-06.png,now
archive\iam_words\words\a02\a02-027\a02-027-05-03.png,here
archive\iam_words\words\b03\b03-104\b03-104-01-00.png,at
archive\iam_words\words\a05\a05-080\a05-080-03-01.png,proclamation
archive\iam_words\words\a01\a01-063\a01-063-05-01.png,in
archive\iam_words\words\d07\d07-093\d07-093-08-01.png,texts
archive\iam_words\words\a04\a04-031\a04-031-08-07.png,cold
archive\iam_words\words\a01\a01-058x\a01-058x-08-02.png,Dr.
archive\iam_words\words\e01\e01-055\e01-055-08-07.png,of
archive\iam_words\words\d01\d01-060\d01-060-09-04.png,editorial
archive\iam_words\words\c03\c03-081b\c03-081b-05-07.png,scenes
archive\iam_words\words\d01\d01-060\d01-060-04-06.png,accounts
archive\iam_words\words\e07\e07-003\e07-003-02-04.png,viewed
archive\iam_words\words\a04\a04-059\a04-059-04-07.png,in
archive\iam_words\words\c02\c02-059\c02-059-02-00.png,generous
archive\iam_words\words\b06\b06-087\b06-087-03-01.png,","
archive\iam_words\words\a02\a02-046\a02-046-05-02.png,","
archive\iam_words\words\a04\a04-089\a04-089-09-01.png,expected
archive\iam_words\words\a03\a03-030\a03-030-04-04.png,laying
archive\iam_words\words\a05\a05-000\a05-000-05-00.png,about
archive\iam_words\words\a03\a03-017\a03-017-01-06.png,made
archive\iam_words\words\e01\e01-119\e01-119-00-04.png,through
archive\iam_words\words\d04\d04-096\d04-096-05-08.png,binds
archive\iam_words\words\d01\d01-024\d01-024-02-05.png,before
archive\iam_words\words\c03\c03-084d\c03-084d-04-04.png,Week
archive\iam_words\words\d04\d04-086\d04-086-02-09.png,time
archive\iam_words\words\d04\d04-075\d04-075-00-04.png,is
archive\iam_words\words\b06\b06-032\b06-032-02-04.png,the
archive\iam_words\words\a01\a01-117u\a01-117u-10-07.png,400
archive\iam_words\words\b04\b04-020\b04-020-07-00.png,abundance
archive\iam_words\words\b06\b06-100\b06-100-06-00.png,went
archive\iam_words\words\b01\b01-079\b01-079-09-04.png,it
archive\iam_words\words\a01\a01-077\a01-077-08-06.png,answer
archive\iam_words\words\c04\c04-128\c04-128-00-06.png,all
archive\iam_words\words\a03\a03-089\a03-089-00-01.png,is
archive\iam_words\words\c04\c04-035\c04-035-02-05.png,a
archive\iam_words\words\b01\b01-057\b01-057-01-01.png,by
archive\iam_words\words\a01\a01-026u\a01-026u-07-02.png,But
archive\iam_words\words\b01\b01-014\b01-014-05-08.png,Dr.
archive\iam_words\words\b05\b05-067\b05-067-00-09.png,that
archive\iam_words\words\b04\b04-134\b04-134-03-04.png,devoted
archive\iam_words\words\d06\d06-003\d06-003-06-03.png,victors
archive\iam_words\words\c04\c04-098\c04-098-04-04.png,","
archive\iam_words\words\c03\c03-096f\c03-096f-07-02.png,they
archive\iam_words\words\a03\a03-050\a03-050-06-04.png,having
archive\iam_words\words\b04\b04-181\b04-181-06-03.png,.
archive\iam_words\words\b05\b05-083\b05-083-02-03.png,There
archive\iam_words\words\a02\a02-027\a02-027-04-03.png,in
archive\iam_words\words\c04\c04-004\c04-004-00-06.png,will
archive\iam_words\words\c03\c03-087c\c03-087c-03-07.png,","
archive\iam_words\words\b05\b05-062\b05-062-03-04.png,am
archive\iam_words\words\a01\a01-072x\a01-072x-03-09.png,the
archive\iam_words\words\d06\d06-003\d06-003-02-08.png,us
archive\iam_words\words\a06\a06-008\a06-008-01-01.png,the
archive\iam_words\words\d07\d07-096\d07-096-01-02.png,and
archive\iam_words\words\b01\b01-023\b01-023-00-08.png,Africa
archive\iam_words\words\a01\a01-020\a01-020-02-01.png,up
archive\iam_words\words\c02\c02-017\c02-017-00-04.png,novel
archive\iam_words\words\d05\d05-013\d05-013-03-03.png,laying
archive\iam_words\words\c04\c04-035\c04-035-02-07.png,trip
archive\iam_words\words\a04\a04-059\a04-059-07-04.png,.
archive\iam_words\words\b05\b05-098\b05-098-05-02.png,I
archive\iam_words\words\a04\a04-069\a04-069-07-03.png,of
archive\iam_words\words\b01\b01-136\b01-136-04-09.png,will
archive\iam_words\words\e04\e04-091\e04-091-01-02.png,transom
archive\iam_words\words\a04\a04-050\a04-050-06-04.png,.
archive\iam_words\words\b06\b06-090\b06-090-01-00.png,and
archive\iam_words\words\b01\b01-018\b01-018-08-00.png,who
archive\iam_words\words\c03\c03-016b\c03-016b-03-00.png,promiscuous
archive\iam_words\words\b01\b01-027\b01-027-06-06.png,and
archive\iam_words\words\b06\b06-036\b06-036-01-02.png,must
archive\iam_words\words\a01\a01-132x\a01-132x-03-02.png,-
archive\iam_words\words\c03\c03-087f\c03-087f-05-03.png,could
archive\iam_words\words\b04\b04-060\b04-060-02-09.png,real
archive\iam_words\words\e04\e04-019\e04-019-03-08.png,.
archive\iam_words\words\a03\a03-017\a03-017-07-00.png,into
archive\iam_words\words\d01\d01-098\d01-098-00-09.png,wooden
archive\iam_words\words\a05\a05-099\a05-099-01-03.png,of
archive\iam_words\words\c06\c06-100\c06-100-03-11.png,married
archive\iam_words\words\a01\a01-113\a01-113-04-09.png,first
archive\iam_words\words\a05\a05-053\a05-053-00-04.png,would
archive\iam_words\words\a03\a03-006\a03-006-05-04.png,","
